ID,Severity,Start_Time,End_Time,City,State,Temperature(F),Weather_Condition,Visibility(mi),Humidity(%),Wind_Speed(mph)
A0,2,2021-01-01 00:00:00,2021-01-01 01:00:00,New York,NY,70,Clear,10.0,50,5.0
A1,3,2021-01-01 01:00:00,2021-01-01 02:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A2,2,2021-01-01 02:00:00,2021-01-01 03:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A3,4,2021-01-01 03:00:00,2021-01-01 04:00:00,Houston,TX,80,Fog,8.0,80,6.0
A4,1,2021-01-01 04:00:00,2021-01-01 05:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A5,2,2021-01-01 05:00:00,2021-01-01 06:00:00,New York,NY,70,Clear,10.0,50,5.0
A6,3,2021-01-01 06:00:00,2021-01-01 07:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A7,2,2021-01-01 07:00:00,2021-01-01 08:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A8,4,2021-01-01 08:00:00,2021-01-01 09:00:00,Houston,TX,80,Fog,8.0,80,6.0
A9,1,2021-01-01 09:00:00,2021-01-01 10:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A10,2,2021-01-01 10:00:00,2021-01-01 11:00:00,New York,NY,70,Clear,10.0,50,5.0
A11,3,2021-01-01 11:00:00,2021-01-01 12:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A12,2,2021-01-01 12:00:00,2021-01-01 13:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A13,4,2021-01-01 13:00:00,2021-01-01 14:00:00,Houston,TX,80,Fog,8.0,80,6.0
A14,1,2021-01-01 14:00:00,2021-01-01 15:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A15,2,2021-01-01 15:00:00,2021-01-01 16:00:00,New York,NY,70,Clear,10.0,50,5.0
A16,3,2021-01-01 16:00:00,2021-01-01 17:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A17,2,2021-01-01 17:00:00,2021-01-01 18:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A18,4,2021-01-01 18:00:00,2021-01-01 19:00:00,Houston,TX,80,Fog,8.0,80,6.0
A19,1,2021-01-01 19:00:00,2021-01-01 20:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A20,2,2021-01-01 20:00:00,2021-01-01 21:00:00,New York,NY,70,Clear,10.0,50,5.0
A21,3,2021-01-01 21:00:00,2021-01-01 22:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A22,2,2021-01-01 22:00:00,2021-01-01 23:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A23,4,2021-01-01 23:00:00,2021-01-02 00:00:00,Houston,TX,80,Fog,8.0,80,6.0
A24,1,2021-01-02 00:00:00,2021-01-02 01:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A25,2,2021-01-02 01:00:00,2021-01-02 02:00:00,New York,NY,70,Clear,10.0,50,5.0
A26,3,2021-01-02 02:00:00,2021-01-02 03:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A27,2,2021-01-02 03:00:00,2021-01-02 04:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A28,4,2021-01-02 04:00:00,2021-01-02 05:00:00,Houston,TX,80,Fog,8.0,80,6.0
A29,1,2021-01-02 05:00:00,2021-01-02 06:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A30,2,2021-01-02 06:00:00,2021-01-02 07:00:00,New York,NY,70,Clear,10.0,50,5.0
A31,3,2021-01-02 07:00:00,2021-01-02 08:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A32,2,2021-01-02 08:00:00,2021-01-02 09:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A33,4,2021-01-02 09:00:00,2021-01-02 10:00:00,Houston,TX,80,Fog,8.0,80,6.0
A34,1,2021-01-02 10:00:00,2021-01-02 11:00:00,Phoenix,AZ,75,Cloudy,9.0,90,4.0
A35,2,2021-01-02 11:00:00,2021-01-02 12:00:00,New York,NY,70,Clear,10.0,50,5.0
A36,3,2021-01-02 12:00:00,2021-01-02 13:00:00,Los Angeles,CA,60,Rain,5.0,60,7.0
A37,2,2021-01-02 13:00:00,2021-01-02 14:00:00,Chicago,IL,55,Snow,2.0,70,3.0
A38,4,2021-01-02 14:00:00,2021-01-02 15:00:00,Houston,TX,80,Fog,8.0,80,6.0
